;ACP;IQR;count;mean;median;pol;q1;q3;std
128;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.0;5597.0;0.02072538860103627;0.0;POLICIES_buy;0.0;0.0;0.14246349310743545
129;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;1.0;5310.0;0.28888888888888886;0.0;POLICIES_rent;0.0;1.0;0.4532461789860253
130;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;1.0;5418.0;0.27556293835363604;0.0;POLICIES_wage;0.0;1.0;0.44679749927628987
131;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.0;5358.0;0.15826801045166106;0.0;POLICIES_no_policy;0.0;0.0;0.36499211953045496
132;PROCESSING_ACPS_CAXIAS DO SUL;0.0;5355.0;0.026517273576097105;0.0;POLICIES_buy;0.0;0.0;0.16066769363561403
133;PROCESSING_ACPS_CAXIAS DO SUL;1.0;5609.0;0.29167409520413623;0.0;POLICIES_rent;0.0;1.0;0.45453307623426564
134;PROCESSING_ACPS_CAXIAS DO SUL;1.0;5450.0;0.2759633027522936;0.0;POLICIES_wage;0.0;1.0;0.44699838734198977
135;PROCESSING_ACPS_CAXIAS DO SUL;0.0;5348.0;0.15706806282722513;0.0;POLICIES_no_policy;0.0;0.0;0.3638649288773623
136;PROCESSING_ACPS_CRAJUBAR;0.0;5543.0;0.024715857838715497;0.0;POLICIES_buy;0.0;0.0;0.1552577991922206
137;PROCESSING_ACPS_CRAJUBAR;1.0;5460.0;0.2772893772893773;0.0;POLICIES_rent;0.0;1.0;0.44766056173382823
138;PROCESSING_ACPS_CRAJUBAR;1.0;5416.0;0.284711964549483;0.0;POLICIES_wage;0.0;1.0;0.4512771452132901
139;PROCESSING_ACPS_CRAJUBAR;0.0;5401.0;0.17922606924643583;0.0;POLICIES_no_policy;0.0;0.0;0.3835415040760356
140;PROCESSING_ACPS_CURITIBA;0.0;5464.0;0.0007320644216691069;0.0;POLICIES_buy;0.0;0.0;0.02704678360455515
141;PROCESSING_ACPS_CURITIBA;0.0;5355.0;0.8392156862745098;1.0;POLICIES_rent;1.0;1.0;0.3673318910540076
142;PROCESSING_ACPS_CURITIBA;0.0;5373.0;0.9222036106458217;1.0;POLICIES_wage;1.0;1.0;0.26785091218368356
143;PROCESSING_ACPS_CURITIBA;0.0;5327.0;0.12370940491834052;0.0;POLICIES_no_policy;0.0;0.0;0.3292497350843135
144;PROCESSING_ACPS_FLORIANOPOLIS;0.0;5390.0;0.029684601113172542;0.0;POLICIES_buy;0.0;0.0;0.16971571986685377
145;PROCESSING_ACPS_FLORIANOPOLIS;1.0;5548.0;0.28749098774333093;0.0;POLICIES_rent;0.0;1.0;0.4525924432750672
146;PROCESSING_ACPS_FLORIANOPOLIS;1.0;5487.0;0.28066338618552944;0.0;POLICIES_wage;0.0;1.0;0.4493233243894666
147;PROCESSING_ACPS_FLORIANOPOLIS;0.0;5413.0;0.16497321263624606;0.0;POLICIES_no_policy;0.0;0.0;0.37115637101998133
148;PROCESSING_ACPS_GOIANIA;0.0;5442.0;0.015435501653803748;0.0;POLICIES_buy;0.0;0.0;0.12327711443126485
149;PROCESSING_ACPS_GOIANIA;1.0;5473.0;0.29435410195505207;0.0;POLICIES_rent;0.0;1.0;0.45575186737663165
150;PROCESSING_ACPS_GOIANIA;1.0;5331.0;0.2830613393359595;0.0;POLICIES_wage;0.0;1.0;0.45048597925939077
151;PROCESSING_ACPS_GOIANIA;0.0;5385.0;0.15858867223769732;0.0;POLICIES_no_policy;0.0;0.0;0.36529208214192316
