month;price_index;gdp_index;gdp_growth;unemployment;average_workers;families_median_wealth;families_wealth;families_commuting;families_savings;families_helped;amount_subsidised;firms_wealth;firms_profit;gini_index;average_utility;pct_zero_consumption;rent_default;inflation;average_qli;house_vacancy;house_price;house_rent;affordable;p_delinquent;equally;locally;fpm;bank
;1.391;1794.023;0.2789999999999999;0.0;57.775;1.1909999999999998;5532.471;523.232;8145.271;0;0.0;174086.958;0.0;0.415;0.3671;0.0124;0.0008;0.0;0.861;0.341;237.075;0.4301;0.2403;0.6829;38924.4778;74675.0912;13842.7423;3.1581
;1.133;875.408;0.22;0.0;86.766;1.391;5253.032;477.213;7278.481;0;0.0;94712.082;0.0;0.476;0.2363;0.0309;0.0021;0.0;0.725;0.298;396.4071;0.5269;0.2256;1.0;22660.5298;43478.1928;5455.7317;1.2814
;1.133;875.408;0.22;0.0;86.766;1.391;5253.031999999999;477.213;7278.481;0;0.0;94712.082;0.0;0.476;0.2363;0.0309;0.0021;0.0;0.725;0.298;396.4071;0.5269;0.2256;1.0;22660.5298;43478.1928;5455.7317;1.2814
;1.168;737.023;-1.587;0.0;43.955;1.126;3107.044;155.352;4393.729;0;0.0;137315.77;-0.784;0.457;0.2739;0.0273;0.0041;0.0;0.917;0.315;253.2193;0.5135;0.21;0.9;17580.8331;32478.3192;4178.9165;0.3472
;1.168;737.023;-1.587;0.0;43.955;1.126;3107.0440000000003;155.352;4393.729;0;0.0;137315.77;-0.784;0.457;0.2739;0.0273;0.0041;0.0;0.917;0.315;253.2193;0.5135;0.21;0.9;17580.8331;32478.3192;4178.9165;0.3472
;1.641;2573.83;-0.263;0.0;49.331;1.247;8860.697;648.245;11841.493;0;0.0;262592.942;-1.194;0.426;0.3556;0.0167;0.004;0.0;0.828;0.301;262.4216;0.47;0.2484;0.75;57123.5481;111771.6599;19947.7497;1.4028
;1.641;2573.83;-0.263;0.0;49.331;1.247;8860.697;648.245;11841.493;0;0.0;262592.942;-1.194;0.426;0.3556;0.0167;0.004;0.0;0.828;0.301;262.4216;0.47;0.2484;0.75;57123.5481;111771.6599;19947.7497;1.4028
;1.279;971.064;-0.456;0.0;77.606;1.165;2889.285;283.457;3898.463;0;0.0;43078.346;0.0;0.429;0.3862;0.0183;0.0043;0.0;0.809;0.379;216.6795;0.4514;0.2373;0.5;20505.6612;39077.3;7559.1636;3.6643
;1.279;971.064;-0.456;0.0;77.60600000000001;1.165;2889.285;283.457;3898.463;0;0.0;43078.346;0.0;0.429;0.3862;0.0183;0.0043;0.0;0.809;0.379;216.6795;0.4514;0.2373;0.5;20505.6612;39077.3;7559.1636;3.6643
;1.402;3307.174;-0.12;0.125;38.833;1.324;19665.6;1826.297;23851.828;0;0.0;695764.912;-0.629;0.47;0.2323;0.0304;0.0055;-0.0022;0.754;0.254;362.3076;0.5672;0.2075;0.8205;91697.5095;171859.4657;26440.2353;6.6853
;1.424;3413.956;0.105;0.126;38.795;1.273;19263.657;1851.004;24101.626;0;0.0;677680.52;2.819;0.475;0.2413;0.0318;0.0067;0.0002;0.745;0.254;338.3545;0.5576;0.2069;0.8833;91658.1547;171157.5598;26388.2617;5.4797
;1.41;3394.074;0.116;0.126;38.86;1.302;19569.299;1854.355;24338.29;0;0.0;693040.523;-0.461;0.475;0.2363;0.0333;0.0049;0.0;0.748;0.261;343.1298;0.5586;0.2105;0.8478;90667.5773;170691.0465;26140.2856;5.2298
;1.464;3444.522;0.321;0.125;38.858;1.314;19631.728;1856.057;23859.721;0;0.0;699746.664;-0.039;0.471;0.2439;0.0305;0.0055;0.0;0.762;0.255;358.8984;0.564;0.2077;0.825;93489.2648;175603.0143;26861.3154;4.2677
;1.438;3301.142;-0.568;0.123;38.907;1.337;19599.93;1851.755;24242.979;0;0.0;652347.44;2.24;0.466;0.2367;0.0323;0.0029;0.0002;0.756;0.277;348.2135;0.5632;0.2066;0.6667;91502.7932;173975.1178;26326.765;7.2248
;1.446;3386.479;0.057;0.124;38.848;1.362;20018.158;1841.756;23987.631;0;0.0;668241.179;-0.553;0.471;0.2425;0.0316;0.0047;0.0;0.763;0.278;359.4115;0.5741;0.2084;0.7143;92008.1802;174704.558;26550.9508;4.2651
;1.387;3439.138;-0.113;0.124;38.959;1.329;19692.977;1856.127;23971.885;0;0.0;681432.22;2.477;0.471;0.2362;0.0328;0.0034;0.0023;0.754;0.276;340.9976;0.5659;0.2106;0.7347;91809.0787;173567.9474;26455.8915;7.0908
;1.451;3406.216;-0.289;0.124;38.905;1.376;20178.918;1870.118;24231.086;0;0.0;663359.558;-0.554;0.47;0.2439;0.0325;0.0056;0.0;0.768;0.28;349.2947;0.5729;0.2095;0.8;91594.4204;174260.7708;26415.0781;4.0471
